category,description
Household,"Riedel VINUM Cognac Glasses, Set of 2 Size:Set of 2                                                                                 |                            Style:Cognac   6416/71 Features: -Hennessy cognac glass.-Lead crystal.-Gift boxed.-Dishwasher safe. Dimensions: -7.25'' H. Collection: -Vinum collection."
Household,"ANSIO Polyester Shower Curtain for Bathroom - Solid White (71 x 71- inch / 180 x 180 cm) Ready to hang shower curtain made of 100% polyester and of size 1.8 m x 1.8 m available in solid white colour and includes 12 hard wearing plastic hook measures 180 x 180 cm for full coverage, soft fabric and machine washable"
Household,"Little India Meenakari Work Lord Ganesh Marble Pooja Chowki (White) Celestial Ganesha idol made from white marble hand painted in red and gold, studded with colorful stones, idol sitting on the marble chowki. Bring home this season, the precious """"lord Ganesha with peocock on marble chowki """" to decorate and create an auspicious aura in your living space. Made of marble, it has been hand enameled using rich red, green, blue and golden colors. It serves as a great gift, especially around religious celebrations and festivities."
Household,"PETRICE Triple Paper Dispenser | 4 in 1 Foil Cling Film Tissue Paper Roll Holder for Kitchen with Spice Rack -White | Kitchen Triple Paper Roll Dispenser & Holder for Tissue Paper Roll Convenient, Quick, Practical, Healthy triple Dispensers Where You Can Load Paper Towel, Aluminium Foil Roll And Cling Film time Saving And Easier To Maintain Than Cutting The Rolls Manually great Idea To Store Aluminum Foil And Paper Towel, Cling Film In One Dispenser compact Body That Saves A Large Space In Kitchen simple Front Loading With Mountable Paper Towel Rack durable Plastic Construction easy To Set-up And Refill."
Household,"KC Cab Copper PVC Insulated Wire 90 m Coil(Red) KC Cab brings you the cable of 0.5 sq mm to 6.00 sq mm length. Available in six colors, this cable has copper conductors, which are highly effective in supplying power without any breakdown. KC Cab has come a long way in establishing itself as a major player in the Cable and wires industry. With the extensive knowledge and experience in this respective domain, we are engaged in offering PVC Insulated Industrial Cables. This is a product of electrical wires from KC Cab. These Wires are ideal for wiring of electrical control panels, industrial sheds, buildings, and so on."
Household,"Venus Lava Instant 3L30 3 Ltr 3000-Watt Vertical Geyser (Ivory) Lava Instant Need hot water at the flick of a switch? Get Venus Lava instant water heater today. It provides you with hot water in an instant. So you no longer need to heat and store large volume of water. Thereby you not only get hot water instantly. you also get to save on your power bills. Instant water heaters or Electric tankless water heaters in India are gaining in popularity and Venus has two types of instant water heaters, namely, Lava and Splash instant water heaters. These high-power water heaters from Venus Home Appliances instantly heat water as it flows through the device, and do not retain any water internally. They are ideal for installation in small areas and provide hot water instantly and are the best hot water geyser in India."
Household,"Quace Plastic 138 LED Curtain String Lights with 8 Flashing Modes Decoration(12 Stars, Yellow) Size:Warm Stars   Specifications:Size: 6.7ft, 3.3ftWire length: 6.7ftPlug wire to the controller: 3.3ftSmall star diameter/length: 0.3ft/2ftBig star diameter/length: 0.67ft/3ftStar quantity: 12 pcs (6 big+ 6 small) Led quantity: 138 ledsLed waterproof level: ip44Voltage: 110vOutput: 29v safe low voltage (includes ul plug-in transformer) Features:8 flash modesCombination, in waves, sequential, slogs, chasing/flash, slow fade, twinkle/flash, and steady on. High brightness12 stars 138 leds, romantic atmosphere. High-brightness string light, but not dazzling. Easy to useJust plug in and unplug it for power on and off, simple and easy to set up. Widely usedCan be hung on walls, windows, doors, floors, ceilings, grasses, christmas trees and more Decorate for party, wedding, festival, shows, restaurant, hotel, commercial building, shopping center, pub, concert, hall and so on. Notes:Waterproof level is IP44, but the power and controller is non-waterproof, please keep them away from water. White buckle is to fix the main power cord line, cannot be cut, otherwise the string lights will be separated."
Household,"Indian Art Villa Siver Plated Goblet Flute Wine Glass for Parties - Set of 2 (Silver, 100 ml) Size:Engraved                                                                                 |                            Color Name:Silver   #productDescription .aplus-3p {width: 970px} .aplus-3p ul {overflow: hidden;} .aplus-3p ul li {list-style-position: inside;} #productDescription .aplus-3p table {border-collapse: collapse !important; width: 100% !important} #productDescription .aplus-3p .one-col {width: 100%; margin-bottom: 1em} #productDescription .aplus-3p .one-col .image-wrapper {margin-bottom: 1em} #productDescription .aplus-3p .leftImage {margin-bottom: 0} #productDescription .aplus-3p .leftImage.image-wrapper {max-width: 300px;} #productDescription .aplus-3p .image-wrapper img {max-width: none;} .aplus-3p .image-wrapper {display: inline-block; text-align: center} #productDescription .aplus-3p .image-caption {font-size: 0.9em; margin-top: 5px} #productDescription .aplus-3p table tr {vertical-align: top;} .apcs-eventhirdcol {width:300px; display:block;} .apcs-eventhirdcol-table {width: 100%; border-collapse: separate;} .apcs-eventhirdcol-table th {text-align: center; vertical-align: top;} .apcs-eventhirdcol-table tr td {vertical-align: top;} .apcs-eventhirdcol-table tr td:first-child {padding-right: 17px;} .apcs-eventhirdcol-table tr td:first-child + td {padding: 0 17px;} .apcs-eventhirdcol-table tr td:first-child + td + td {padding-left: 17px;}  Highlights:-  The Best Champagne glass is one that sets off the elegance of the wine while also allowing a thorough appreciation of its distinctive qualities.        This Champagne glass is unique & functional. These are round & pointed bottomed glasses.       We would like to add that the flute, with its tall, tapering bowl, favours a visual examination of the wine. The flared rim, perfect for nosing, is another feature that makes the flute the ideal glass for Champagne, not to mention its ineffable elegance. It is no surprise that the the Champagne flute is the glass of choice for any luxury table setting.  Wonderful Gift Item:-    These glasses have their own unique designs they mainly used for Serving Vodka Wine Champagne gifting purposes on Wedding Aniversary Diwali Festive Occasion, Home Decoration.      What Better to Remember that Special Occasion with a Beautiful Personalized Twisted Champagne glass that will be Cherished for Years to come.      On the Occasion of Diwali, Christmas, Anniversary, Birthdays these items can be readily turned into a wonderful Gift Item.  Showpiece Item:-  Champagne glass is a form of stemware designed specifically to enhance the pleasure of drinking champagne.      Start your celebration with this distinctive, elegant flute, handcrafted from hammered Silver-plated.      Perfect for special evenings. Unique Gifting option for Birthdays, Anniversary, Business, etc.  Party Glasses:-     These items have antique elegant design that gives addition to you Home décor or can be use for the decoration of Restaurants, Bars.      These Glasses are mainly used in Bar parties.If the occasion calls for champagne, then the occasion probably calls for plenty of champagne glasses, & because creating a special occasion is really about creating a special mood.   The taste of Champagne is greatly affected by the shape of the glass! So in order to have the best tasting sparkling wine, here’s a little insight on how to choose the right glasses for your Champagne preference.      These Glasses have a style to match the way you live - the essence of elegance. Lend formality and elegance to formal dinner, parties, holiday celebrations and more. Ideal gift for loved ones .  Gift Box:-   IndianArtVilla Handmade Engraved Silver Plated Brass Premium Goblet Champagne Flutes Coupes Wine Glass Set with gift Packing box Use for Serving Beer Wine gifting purposes on Wedding Aniversary Diwali Navratri Occasion, Home Decoration.      It comes with an Attractive Fancy Red/Blue coloured Gift Box."
Household,JDX Cushion Filler (12X12) - Set Of 5 Cushion Outer Material Is Made Of Micro Fabric And Inner Hollow Siliconised Fibre.
Household,Secret Wish Women's Navy-Blue Towel Bathrobe (Free Size)-HC-E128-539 Color Name:Navy-Blue   Get this adorable navy-blue solid towel bathrobe from Secret Wish. Made from towel fabric.
Household,"Hello Dream Imported Digital Smart Backlight Alarm Clock with Automatic Sensor,Date & Temperature (Black) Table Clock CLEAR DISPLAY Hello Dream Imported Digital Smart Backlight Alarm Clock with Automatic Sensor,Date & Temperature (Black) Table Clock has a super large digital display with bold fonts. It is easy to read and gives you a comfortable visual experience. EASY OPERATION: The clock has multiple easily accessible buttons at the back. You can easily set the date, time, and alarm mode by using the buttons. The snooze/backlight button is situated at the top for quick access. PROGRESSIVE SOUND The sound of the alarm increases progressively and the frequency becomes faster with time. The ringing will continue for one minute and then resume again after five minutes to give you a pleasant awakening experience. Waking up from deep sleep is often difficult for us. However, this convenient multi-functional digital alarm clock can easily turn away your worries. The clock has a convenient snooze feature and progressing alarm sound that wake you up from a deep sleep without startling you. It has numerous other functionalities like night time sensor which shows you the time even in darkness and temperature display that informs you about your indoor temperatures. The clock has a smart backlight feature that helps you to check the time clearly at night. The clock has an automatic night time sensor. This alarm clock has a snooze option. It will enable you to enjoy a comfortable and prolonged wake-up call with the repeating snooze option. The digital alarm clock will inform you about the environmental temperature. The indoor temperature is displayed on the clock."
Household,"SHAMBHAVI 300 GSM Cotton Hand Towel Set (Blue and White) - 10 Piece The product in display is hand towel made of cotton and finished in blue & white colour. The product measures 13 inch x 20 inch or 33 cm x 51 cm, made from fine cotton fibers it ensures durability and reduces the buildup of pile and lint, which helps keep the towels fresh."
Household,"Decals Design 'Beautiful Magic Tree with Flowers' Wall Sticker (PVC Vinyl, 50 cm x 70 cm, Brown and Red) Ideal for family lounge, bedroom, cafe and restaurant, kids room, nursery room etc. PVC, non-toxic and waterproof. These wall stickers decorate your home just in minutes. Easy installation the surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. Simply peel those pre-cut pieces of wall stickers off from the backing paper and apply them to the desired area. Refer to the finished design shown in between the sheet and follow the numbers mentioned on the pieces to form the desired pattern. Freshly painted or lacquered surfaces must be allowed to completely cure for minimum 30 days before the decal is applied. After pasting the wall stickers on your wall, press firmly along the border and remove air bubbles if any. Repeat, if required. Do not apply on wet walls. It will be helpful and fun if you take help of your friends or family members."
Household,"Comfy - Nesting Table DIY (Shahzio) -Set of 3 Stool- Aesthetic Modern Design - Elegant Finish (Color : Wenge) Shahzio Nesting table is made of Engineering wood –Particle board and is simple in design yet elegant. It fits anywhere and everywhere with 3 set of table of different heights –by Comfy DIY Furniture Comfy Nesting table is a gorgeous, sleek and elegant table, can be carried anywhere with ease and comfort. Comfy Nesting table has 3 set of table of different dimensions 1. Length = 45 cm , Width = 30 cm , height = 43 cm 2. Length = 41 cm , Width= 28 cm , height = 41 cm 3.Length = 37 cm , Width = 26 cm , height = 39 cm Comfy Nesting table solves your storage problems with saving space and making your home neat and well-organized. Comfy Nesting tables are very durable and made of highest quality of particle board, best of its class.Comfy Nesting table are perfectly designed to keep Knick knacks, books, plants, in living room, bedroom etc. With an Amazing design, this table is available for various purposes. Shahzio nesting table offer multi functionality as decorative table and also used as a Breakfast table, Drawing table, Study table, etc. And solidly built quality makes it an ideal table top for multiple uses. In case you need us to answer any more queries about the product, please do not hesitate to write your question in the ""question & answers"" tab below. We will be more than glad to assist you and help you help you with your purchase."
Household,"MBTC Clark Seat and Back Cushion Folding Chair The Quick-Fold Multi-utility Folding Chair provides a perfect accent chair for all outdoor areas- Garden, Patio, Balcony or Swimming pool deck. Folds flat for out-of-the-way storage, making it the perfect accessory for camping or fishing trips. Use it in tight spaces, like dorm rooms where space is at a premium. Weighing in at only 4.5 kgs , it easily supports up to 150 kgs."
Household,Strauss Adjustable Hand Grip Strengthener
Household,Poorak Cotton Half Sleeves Bathrobe For Women - Free Size fit upto 44 inches - Different colors
Household,"The Indus Valley Wooden Spatula, Brown (Set of 5) Good quality clear neem wood cooking ladle set which is beautiful, sturdy and hands carved. Neem has anti-bacterial properties. Neem wood cooking ladles is a healthy option for the eco-friendly and environmentally conscious people. Benefits: heat resistant: - eco-friendly and very durable - wood is completely biodegradable and renewable food safety: - neem wood is more antibacterial than plastic, no added dyes or stains and completely toxic-less - easy to clean and maintain - wash with warm water and soap and air dry. Periodically rub with cooking oil to prolong life seasoning: soak the product in mineral oil before use care instructions: - do not soak in water for too long - use mild soap and water to clean and dry thoroughly - handle with care."
Household,"EZ Life Sweets/Candy / Candle Holder Jar with Stand - Black - Metal & Glass - 1 Pc Whether you need a unique wedding favor gift or birth announcement gift for your home, these EZ Life's Sweets/Candy/Candle Holder Jar with Stand are unique and incredibly adorable!"
Household,"Furny Limo Three Seater Sofa (Brown) Size:3S   Furny owns the trademarks : FabHomeDecor and Furny products are manufactured at our facility at Bhiwandi, Mumbai. Buyers are advised to purchase directly from Furny and not from other unauthorized fraud sellers who have tagged themselves on Amazon to take free advantage of our brand name."
Household,"Groeien 3-Light Industrial Black Finish Metal Shade Hanging Pendant Ceiling Lamp Fixture Tulip Cone Disc (Bulb not Included) This is a three light industrial looking pendant, this light fixture provide a very classy and antique industrial look, This lamp is a hard wired fixture. This fixture doesn’t have a glass or plastic globe it is made of metal"
Household,Driftingwood Bar Cabinet for Home - Honey Oak Finish Color:Honey Oak Finish   Contemporary Furniture Reflects Designs That Are Current Or En Vogue. It Does Not Necessarily Reference Historical Design Styles And Often Provides A Feeling Of Everything In Its Place. Furniture Bought Is Shipped For Free And Comes With A 1 Year Warranty Against Any Manufacturing Defects.
Household,"Crompton Bliss 3-Litre Instant Water Heater (White) Size:3-Litre   Crompton greaves consumer electricals manufactures and markets a wide spectrum of consumer products ranging from fans, light sources and luminaires, pumps and household appliances, such as geysers, mixer grinders, toasters and irons. Crompton has been the market leader in fans, domestic pumps and street lighting for over 20 years."
Household,"JP Hardware Ceramic Knobs for Cabinets & Cupboards Drawer Pulls (Multicolour) - Pack of 8 Suitable for decorating your kitchen, living room, bedroom, Classy pull knob is perfect for drawer, door, cabinet, and wardrobe Package Includes: 8 x ceramic Knobs and 8 Mounting Screws with nut bolts and washers Knob Diameter: 38mm, Backplate Diameter: 30mm, Screw Thread Diameter: 4mm Change the look and feel of any room with cabinets or drawers Decorative drawer pull knob is crafted in traditional style"
Household,"AmazonBasics 5-Piece Bedsheet Set - Twin/Twin Extra Long, Purple Floral (Includes 1 bedsheet, 1 comforter, 2 pillowcases, 1 fitted sheet) Size:Twin                                                                                 |                            Color Name:Purple Floral   Includes 66 x 90 inch comforter, 66 x 96 inch flat sheet, 39 x 80 inch fitted sheet, 20 x 26 inch sham, and 20 x 30 inch pillowcase;all pieces of set conveniently complement each other to produce a complete and stylish bedding design;fabric is made of 100% polyester microfiber for a soft and gentle texture;comforter filling is 100% polyester for cozy warmth."
Household,"Deco Window Tieback Geet Jyoti Set Of 2 Ivory Beige Champaign A simple rope or braid used to secure a curtain to one side of a window is a basic curtain tie-back. In a natural coloring this tieback will simply complement most curtains regardless of color or design. Easy to hang this tieback will hold your curtains back in a neat and tidy style, allowing natural light to flow through your room. About Deco Window: In collaboration with 11 retail chains and more than 600 stores spread all over India, Deco Window offers wide-ranging window solutions (classic to modern profiles) for each and every Indian home. Features: Material: 100% PolyesterMade from Dope Dyed Yarns 100% Sun Fastness and 100% colour fastness Does not get crushed or fade. Will go with most fabrics. Retail original shape and sheen   Other product range: Bed covers | Cushions | Cushion Covers | Garden Torches | Tie backs and Trimmings | Curtains | Curtain Rods | Curtain Hold backs |Curtain rings | Door Seal"
Household,"Thyme Natural Wood Serving Tong | Wooden Tong for Kitchen Natural Wood Serving Tong: This serving tong handcrafted with premium natural wood with easy grip attracts every homemaker's attention. Perfect wooden serving tongs for roti, bread, salad, and other eatables. Carved with natural wood and crafted with expert care. This tong measures 10in x 1.75in x 1.75in and crafted with a precise finesse."
Household,"ECOF Long Cotton Wicks , 500 Pcs (3IN, White)- Pack of 2 Featuring Get long cotton wicks useful for bhagwan's pujas coming in a pack of 2."
